Name;Department;Link;Label
Baugé;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/bauge;Petite Cité de Caractère
Aubigné-sur-Layon;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/aubigne-sur-layon;Petite Cité de Caractère
Béhuard;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/behuard;Petite Cité de Caractère
Batz-sur-Mer;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/batz-sur-mer;Petite Cité de Caractère
Le Croisic;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/le-croisic;Petite Cité de Caractère
Le Coudray-Macouard;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/le-coudray-macouard;Petite Cité de Caractère
Montreuil-Bellay;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/montreuil-bellay;Petite Cité de Caractère
Montsoreau;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/montsoreau;Petite Cité de Caractère
Denée;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/denee;Petite Cité de Caractère
Chênehutte-Trèves-Cunault;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/chenehutte-treves-cunault;Petite Cité de Caractère
Le Puy-Notre-Dame;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/le-puy-notre-dame;Petite Cité de Caractère
Le Thoureil;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/le-thoureil;Petite Cité de Caractère
Saint-Florent-le-Vieil;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/saint-florent-le-vieil;Petite Cité de Caractère
Savennières;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/savennieres;Petite Cité de Caractère
Turquant;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/turquant;Petite Cité de Caractère
Chailland;;http://petitescitesdecaractere.com/fr/nos-petites-cites-de-caractere/chailland;Petite Cité de Caractère
