Name;Department;Latitude;Longitude;Cover_url;Link;Label
Aiguèze;Gard;44.3034;4.5566;https://media.les-plus-beaux-villages-de-france.org/photos/s1630/aigueze-eglise-et-olivier.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/aigueze/;Les Plus Beaux Villages de France
Ainhoa;Pyrénées-Atlantiques;43.3071;-1.4977;https://media.les-plus-beaux-villages-de-france.org/photos/s1677/ainhoa-eglise.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/ainhoa/;Les Plus Beaux Villages de France
Angles-sur-l'Anglin;Vienne;46.6956;0.8855;https://media.les-plus-beaux-villages-de-france.org/photos/s1590/angles-sur-langlin-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/angles-sur-l-anglin/;Les Plus Beaux Villages de France
Ansouis;Vaucluse;43.7373;5.4638;https://media.les-plus-beaux-villages-de-france.org/photos/s1631/ansouis-vue-cote-ouest.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/ansouis/;Les Plus Beaux Villages de France
Apremont-sur-Allier;Cher;46.9062;3.0482;https://media.les-plus-beaux-villages-de-france.org/photos/s1613/apremont-sur-allier-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/apremont-sur-allier/;Les Plus Beaux Villages de France
Arlempdes;Haute-Loire;44.865;3.9239;https://media.les-plus-beaux-villages-de-france.org/photos/s1632/arlempdes-vue-panoramique-sur-les-toits.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/arlempdes/;Les Plus Beaux Villages de France
Ars-en-Ré;Charente-Maritime;46.2078;-1.5148;https://media.les-plus-beaux-villages-de-france.org/photos/s1678/ars-en-re-placette.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/ars-en-re/;Les Plus Beaux Villages de France
Aubeterre-sur-Dronne;Charente;45.2718;0.1709;https://media.les-plus-beaux-villages-de-france.org/photos/s1679/aubeterre-sur-dronne-vue-sur-les-toits.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/aubeterre-sur-dronne/;Les Plus Beaux Villages de France
Autoire;Lot;44.8542;1.8224;https://media.les-plus-beaux-villages-de-france.org/photos/s1680/autoire-maison-a-tourelles.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/autoire/;Les Plus Beaux Villages de France
Auvillar;Tarn-et-Garonne;44.0694;0.9008;https://media.les-plus-beaux-villages-de-france.org/photos/s1681/auvillar-halle.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/auvillar/;Les Plus Beaux Villages de France
Balazuc;Ardèche;44.5086;4.373;https://media.les-plus-beaux-villages-de-france.org/photos/s1633/balazuc-vue-village-et-riviere.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/balazuc/;Les Plus Beaux Villages de France
Barfleur;Manche;49.6701;-1.2637;https://media.les-plus-beaux-villages-de-france.org/photos/s1591/barfleur-vue-aerienne.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/barfleur/;Les Plus Beaux Villages de France
Bargème;Var;43.7301;6.5735;https://media.les-plus-beaux-villages-de-france.org/photos/s1634/bargeme-facade-batisses.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/bargeme/;Les Plus Beaux Villages de France
Baume-les-Messieurs;Jura;46.7082;5.6492;https://media.les-plus-beaux-villages-de-france.org/photos/s1614/baume-les-messieurs-vue-village-et-vallee.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/baume-les-messieurs/;Les Plus Beaux Villages de France
Belcastel;Aveyron;44.3889;2.3381;https://media.les-plus-beaux-villages-de-france.org/photos/s1683/belcastel-vue-oblique.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/belcastel/;Les Plus Beaux Villages de France
Belvès;Dordogne;44.7759;1.0079;https://media.les-plus-beaux-villages-de-france.org/photos/s1684/belves-nocturne.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/belves/;Les Plus Beaux Villages de France
Beuvron-en-Auge;Calvados;49.1886;-0.0451;https://media.les-plus-beaux-villages-de-france.org/photos/s1593/beuvron-en-auge-place-et-facades.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/beuvron-en-auge/;Les Plus Beaux Villages de France
Beynac-et-Cazenac;Dordogne;44.8398;1.1447;https://media.les-plus-beaux-villages-de-france.org/photos/s1685/beynac-et-cazenac-toit-et-tours-chateaux.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/beynac-et-cazenac/;Les Plus Beaux Villages de France
Blesle;Haute-Loire;45.3186;3.1715;https://media.les-plus-beaux-villages-de-france.org/photos/s1686/blesle-vue-densemble.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/blesle/;Les Plus Beaux Villages de France
Bonneval-sur-Arc;Savoie;45.3717;7.0469;https://media.les-plus-beaux-villages-de-france.org/photos/s1636/bonneval-sur-arc-sous-la-neige.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/bonneval-sur-arc/;Les Plus Beaux Villages de France
Brouage;Charente-Maritime;45.8663;-1.0705;https://media.les-plus-beaux-villages-de-france.org/photos/s1687/brouage-vue-aerienne.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/brouage/;Les Plus Beaux Villages de France
Brousse-le-Château;Aveyron;43.9974;2.6261;https://media.les-plus-beaux-villages-de-france.org/photos/s1688/brousse-le-chateau-depuis-le-pont.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/brousse-le-chateau/;Les Plus Beaux Villages de France
Bruniquel;Tarn-et-Garonne;44.0559;1.6658;https://media.les-plus-beaux-villages-de-france.org/photos/s1689/bruniquel-vue-chateau-et-falaise.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/bruniquel/;Les Plus Beaux Villages de France
Camon;Ariège;43.0218;1.9673;https://media.les-plus-beaux-villages-de-france.org/photos/s1690/camon-vue-automne.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/camon/;Les Plus Beaux Villages de France
Candes-Saint-Martin;Indre-et-Loire;47.2113;0.0737;https://media.les-plus-beaux-villages-de-france.org/photos/s1594/candes-saint-martin-fenetre-renaissance.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/candes-saint-martin/;Les Plus Beaux Villages de France
Capdenac-le-Haut;Lot;44.5806;2.0699;https://media.les-plus-beaux-villages-de-france.org/photos/s1691/capdenac-le-haut-sommet-donjon.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/capdenac-le-haut/;Les Plus Beaux Villages de France
Cardaillac;Lot;44.6796;1.9979;https://media.les-plus-beaux-villages-de-france.org/photos/s1692/cardaillac-vue-haute.jpg.390x320_q70_crop_upscale.jpg;https://www.les-plus-beaux-villages-de-france.org/fr/nos-villages/cardaillac/;Les Plus Beaux Villages de France
